total_points,position,was_home,opponent_team,average_goals_per_90,average_assists_per_90,average_ict_per_90,average_goals_conceded_per_90,value,average_influence_per_90,average_creativity_per_90,average_threat_per_90
0,3,True,2,0,0,0.0,0,48.0,0.0,0.0,0.0
1,3,False,20,0,0,0.0,0,48.0,0.0,0.0,0.0
0,3,False,2,0,0,0.0,0,48.0,0.0,0.0,0.0
1,3,True,8,0.0,0.0,2.6470588235294117,0.0,48.0,13.764705882352942,2.6470588235294117,10.588235294117647
0,3,False,13,0.0,0.0,2.6470588235294117,0.0,48.0,13.764705882352942,2.6470588235294117,10.588235294117647
2,3,True,19,0.0,0.0,1.1927710843373496,2.1686746987951806,48.0,8.240963855421686,1.5180722891566263,2.1686746987951806
2,3,False,3,0.0,0.0,1.1927710843373496,2.1686746987951806,48.0,8.240963855421686,1.5180722891566263,2.1686746987951806
0,3,True,1,0.0,0.0,1.3757961783439492,1.7197452229299364,48.0,11.579617834394904,1.1464968152866242,1.1464968152866242
0,3,False,7,0.0,0.0,1.2172131147540983,1.1065573770491803,48.0,9.737704918032787,1.7704918032786885,0.7377049180327869
0,3,False,7,0,0,0,0,45.0,0,0,0
0,3,True,10,0,0,0,0,45.0,0,0,0
0,3,False,3,0,0,0.0,0,45.0,0.0,0.0,0.0
0,3,True,9,0,0,0.0,0,45.0,0.0,0.0,0.0
0,3,True,2,0,0,0.0,0,45.0,0.0,0.0,0.0
0,3,False,14,0,0,0.0,0,45.0,0.0,0.0,0.0
0,3,False,4,0,0,0.0,0,45.0,0.0,0.0,0.0
0,3,True,18,0,0,0.0,0,45.0,0.0,0.0,0.0
0,3,True,12,0,0,0.0,0,45.0,0.0,0.0,0.0
0,3,False,11,0,0,0.0,0,45.0,0.0,0.0,0.0
0,3,False,17,0,0,0.0,0,45.0,0.0,0.0,0.0
0,3,True,16,0,0,0.0,0,45.0,0.0,0.0,0.0
0,3,False,7,0,0,0,0,50.0,0,0,0
0,3,True,10,0,0,0,0,50.0,0,0,0
0,3,False,3,0,0,0.0,0,49.0,0.0,0.0,0.0
0,3,True,9,0,0,0.0,0,49.0,0.0,0.0,0.0
0,3,True,2,0,0,0.0,0,49.0,0.0,0.0,0.0
0,3,False,14,0,0,0.0,0,49.0,0.0,0.0,0.0
0,3,False,4,0,0,0.0,0,49.0,0.0,0.0,0.0
0,3,True,18,0,0,0.0,0,48.0,0.0,0.0,0.0
0,3,True,12,0,0,0.0,0,48.0,0.0,0.0,0.0
0,3,False,11,0,0,0.0,0,48.0,0.0,0.0,0.0
0,3,False,17,0,0,0.0,0,48.0,0.0,0.0,0.0
0,3,True,16,0,0,0.0,0,48.0,0.0,0.0,0.0
0,1,False,7,0,0,0,0,40.0,0,0,0
0,1,True,10,0,0,0,0,40.0,0,0,0
0,1,False,3,0,0,0.0,0,40.0,0.0,0.0,0.0
0,1,True,9,0,0,0.0,0,39.0,0.0,0.0,0.0
0,1,True,2,0,0,0.0,0,39.0,0.0,0.0,0.0
0,1,False,14,0,0,0.0,0,39.0,0.0,0.0,0.0
0,1,False,4,0,0,0.0,0,39.0,0.0,0.0,0.0
0,1,True,18,0,0,0.0,0,39.0,0.0,0.0,0.0
0,1,True,12,0,0,0.0,0,39.0,0.0,0.0,0.0
0,1,False,11,0,0,0.0,0,39.0,0.0,0.0,0.0
0,1,False,17,0,0,0.0,0,39.0,0.0,0.0,0.0
0,1,True,16,0,0,0.0,0,39.0,0.0,0.0,0.0
0,3,False,7,0,0,0,0,60.0,0,0,0
0,3,True,10,0,0,0,0,59.0,0,0,0
0,3,False,3,0,0,0.0,0,58.0,0.0,0.0,0.0
0,3,True,9,0,0,0.0,0,58.0,0.0,0.0,0.0
0,3,True,2,0,0,0.0,0,58.0,0.0,0.0,0.0
1,3,False,14,0,0,0.0,0,57.0,0.0,0.0,0.0
10,3,False,4,0,0,0.0,0,57.0,0.0,0.0,0.0
1,3,True,18,0.0,0.0,9.0,5.625,57.0,27.0,6.75,56.25
1,3,True,12,0.8490566037735849,0.0,6.452830188679245,0.8490566037735849,57.0,36.33962264150943,14.00943396226415,14.433962264150944
1,3,False,11,0.7758620689655172,0.0,8.922413793103448,0.7758620689655172,57.0,37.70689655172413,24.439655172413794,27.155172413793103
1,3,False,17,0.7692307692307693,0.0,9.23076923076923,0.7692307692307693,57.0,40.76923076923076,24.615384615384617,26.923076923076923
0,3,True,16,0.6716417910447762,0.0,9.134328358208956,0.6716417910447762,57.0,36.40298507462686,31.432835820895523,23.507462686567163
8,2,False,7,0,0,0,0,45.0,0,0,0
-1,2,True,10,0,0,0,0,45.0,0,0,0
14,2,False,3,0.0,0.0,2.2,0.0,45.0,22.2,0.1,0.0
